1,"valerio ",vale@mail.it,3233458763,studente
2,simona,simo@mail.it,3274598735,infermiere
3,pietro,pk@mail.it,3274583945,avvocato
5,laura,lax@mail.it,3384587345,medico
7,bugo,bugo@mail.it,324857465,astrofisico
13,egidio,eg@mail.com,3253456786,commerciante
17,bugo,bugo@mail.it,324857465,astrofisico
18,"Keith Espinoza",sajy@mailinator.com,"+1 (389) 517-6931","Molestias expedita m"
19,"Jack Dillon",xyzuqyt@mailinator.com,"+1 (542) 717-3102","Et id eius rerum dol"
20,"Roanna Stephens",zuqo@mailinator.com,"+1 (102) 203-5717","Quam dolorem quia po"
21,"Damian Hoover",hefyfufati@mailinator.com,"+1 (488) 149-6693","Commodi non ullamco "
22,bugo,bugo@mail.it,324857465,astrofisico
23,bugo,bugo@mail.it,324857465,astrofisico
24,bugo,bugo@mail.it,324857465,astrofisico
25,bugo,bugo@mail.it,324857465,astrofisico
